record_id,val_t1,val_t2,val_t3,val_t4,val_t5,,
00562,19.5,24.8,18.1,19.2,26.8,,
00962,5.4,4.6,6.2,5.6,5.8,,
00139,9.5,9.0,11.3,9.9,8.7,,
00497,5.9,6.3,7.0,9.2,8.1,,
00606,14.3,12.6,16.3,8.3,5.4,,
00082,15.4,18.4,15.2,22.1,14.1,,
00776,7.9,4.2,5.8,5.7,3.9,,
00534,12.7,9.3,10.7,6.6,4.4,,
00240,7.6,8.3,4.1,4.6,5.4,,
00886,11.2,14.8,13.1,13.3,18.8,,
00263,4.6,3.9,4.1,5.7,3.5,,
00367,16.3,13.5,10.4,13.9,18.8,,
00898,11.9,9.5,10.2,7.1,5.1,,
00953,5.9,6.4,4.2,2.6,2.4,,
00107,8.3,11.7,16.2,8.6,5.5,,
00837,12.5,6.6,5.3,5.9,4.2,,
00776,4.2,5.8,6.6,8.1,10.4,,
00301,12.4,17.3,25.1,24.1,13.8,,
00210,10.8,6.5,5.8,8.4,8.9,,
00986,10.9,6.3,5.4,7.8,9.0,,
00974,6.5,6.9,8.0,7.6,4.2,,
00376,19.8,24.2,24.7,15.3,19.3,,
00942,11.8,13.4,10.2,13.6,11.7,,
00208,9.0,7.6,7.6,7.4,7.4,,
00818,17.7,16.0,8.3,5.6,5.6,,
00790,5.3,7.8,10.8,11.3,7.2,,
00436,2.9,3.0,3.6,4.3,3.3,,
00147,0.8,0.4,0.5,0.6,0.7,,
00635,2.5,1.6,2.0,2.7,1.8,,
00132,15.4,12.4,8.2,11.0,8.0,,
00361,7.6,5.5,4.2,6.1,8.4,,
00818,18.8,15.2,20.5,11.7,7.4,,
00672,15.4,19.3,25.2,30.0,20.1,,
00311,5.6,4.4,3.9,2.9,2.6,,
00481,18.3,13.0,7.2,3.6,1.9,,
00664,7.8,6.8,5.9,8.8,5.4,,
00956,3.6,1.9,2.5,1.3,1.0,,
00514,12.0,11.8,12.2,10.4,8.5,,
00104,10.3,6.3,5.5,7.5,6.6,,
00451,6.8,9.1,8.2,8.4,10.2,,
00456,10.0,10.2,12.3,16.0,14.7,,
00604,16.6,11.2,9.3,13.1,17.9,,
00290,4.3,5.9,6.6,8.2,10.1,,
00650,2.0,1.4,2.1,2.2,2.9,,
00620,19.9,21.9,14.5,10.3,8.4,,
00743,4.7,6.5,9.4,5.9,5.4,,
00557,5.5,6.3,7.1,7.0,3.6,,
00736,6.1,4.0,5.7,4.3,3.3,,
00430,14.9,14.4,9.4,5.3,5.6,,
00406,7.2,5.8,7.1,6.4,8.9,,
00907,5.7,3.8,4.1,3.0,1.9,,
00903,18.8,26.2,24.6,18.2,16.6,,
00049,2.2,2.6,2.5,2.0,2.8,,
00001,8.4,4.9,4.5,4.7,5.5,,
00056,12.5,17.5,15.6,8.6,7.5,,
00697,1.4,1.2,1.2,1.6,2.0,,
00206,6.8,4.9,4.3,2.7,1.5,,
00355,19.8,25.9,15.5,11.8,13.0,,
00688,4.8,3.0,2.7,3.6,5.4,,
00771,16.9,14.9,8.5,12.0,10.5,,
00869,16.3,11.5,7.0,3.7,3.4,,
00224,1.4,1.1,1.4,1.2,1.5,,
00939,9.3,11.2,10.9,15.9,23.0,,
00145,13.1,15.6,17.4,24.8,34.4,,
00839,8.7,4.5,5.2,6.9,6.4,,
00535,11.4,13.5,20.3,12.0,9.1,,
00199,9.3,12.0,7.6,8.0,11.1,,
00331,17.8,11.4,16.7,22.8,15.7,,
00678,8.4,9.1,11.0,9.1,5.0,,
00683,0.2,0.2,0.3,0.4,0.4,,
00863,6.7,8.3,7.8,10.0,11.9,,
00305,15.6,10.9,10.7,10.2,9.3,,
00392,15.9,21.9,30.5,28.7,34.1,,
00360,18.6,22.3,16.5,15.5,20.1,,
00949,10.6,10.8,8.7,8.1,12.2,,
00244,5.2,6.4,3.9,2.0,2.5,,
00021,12.3,14.0,13.9,8.3,5.6,,
00597,13.6,20.3,25.8,27.1,16.8,,
00092,16.1,13.8,18.5,10.0,8.3,,
00843,1.5,1.8,1.2,1.5,1.3,,
00079,10.1,12.1,17.4,17.8,14.8,,
00241,11.4,16.3,24.4,24.2,14.5,,
00635,5.8,6.1,3.1,3.5,4.5,,
00136,0.9,1.1,1.1,1.1,1.0,,
00439,1.9,1.3,1.1,1.0,1.4,,
00448,11.3,8.8,11.2,14.6,12.4,,
00310,12.8,18.0,13.7,13.5,8.4,,
00342,8.6,8.1,4.4,6.2,5.9,,
00641,11.6,16.4,10.0,6.8,8.9,,
00660,6.5,9.2,13.3,14.1,17.2,,
00744,5.3,5.4,4.4,2.4,2.2,,
00260,7.3,6.8,9.9,6.7,5.5,,
00447,10.7,13.5,10.6,7.2,6.7,,
00601,6.7,5.7,2.8,1.7,1.0,,
00360,2.7,3.6,3.3,1.9,1.9,,
00332,11.4,14.6,17.0,25.5,29.4,,
00309,11.4,11.5,12.9,16.4,12.3,,
00751,12.7,6.6,4.8,2.9,3.2,,
00103,16.7,11.2,12.3,6.8,8.3,,
00635,15.2,12.8,11.9,7.8,7.4,,
00310,14.3,10.9,16.4,21.1,25.1,,
00786,2.5,3.5,4.0,3.7,4.4,,
00502,8.8,4.8,4.7,2.4,3.6,,
00130,2.6,3.6,3.2,2.5,3.7,,
00591,17.2,22.5,17.6,26.4,18.5,,
00671,14.9,8.5,7.6,6.2,3.1,,
00340,8.8,11.9,11.4,10.0,14.9,,
00013,15.0,10.2,12.1,8.9,6.0,,
00733,3.2,3.8,4.8,6.1,3.5,,
00517,11.5,13.1,14.1,18.5,19.6,,
00108,6.2,7.4,10.3,8.6,8.4,,
00121,12.4,7.8,8.0,6.0,3.8,,
00383,16.4,8.2,6.3,5.9,3.0,,
00497,18.8,26.7,34.9,18.9,17.4,,
00300,14.4,21.5,30.1,19.0,28.1,,
00307,12.8,10.1,13.5,19.3,22.2,,
00384,13.6,19.6,14.7,17.0,13.6,,
00273,9.3,6.7,7.3,4.2,4.1,,
00764,18.9,14.7,20.6,12.4,15.6,,
00651,7.5,5.9,8.3,9.5,5.0,,
00332,16.8,20.8,12.9,6.6,6.8,,
00301,13.5,18.3,19.2,17.7,15.0,,
00421,13.1,12.2,10.7,13.5,14.8,,
00586,5.3,5.2,4.9,2.7,2.8,,
00290,17.9,15.4,21.7,21.1,23.2,,
00303,2.2,3.0,2.4,2.2,2.2,,
00160,5.1,6.7,5.7,3.4,3.0,,
00282,8.6,12.3,15.6,10.0,14.1,,
00018,8.1,7.0,4.4,5.0,7.2,,
00269,18.3,24.7,24.0,25.7,38.5,,
00963,3.0,1.9,1.8,2.4,1.4,,
00449,16.0,22.9,32.3,44.9,57.0,,
00892,4.0,2.5,1.6,1.3,1.4,,
00897,18.6,16.1,17.9,23.7,16.3,,
00607,10.5,12.3,11.2,12.4,18.0,,
00672,11.8,8.6,10.2,8.9,5.8,,
00763,11.7,16.4,8.7,12.3,9.7,,
00169,6.5,8.9,4.7,6.2,8.8,,
00391,6.6,6.4,3.8,3.1,2.3,,
00780,4.2,2.3,2.4,3.5,3.5,,
00424,5.9,6.8,4.7,6.9,10.0,,
00586,3.6,4.1,4.3,5.4,8.0,,
00270,18.1,23.5,20.7,19.0,10.8,,
00967,5.1,5.2,5.1,3.5,3.2,,
00042,18.9,10.8,15.2,19.6,24.3,,
00828,2.7,1.5,1.5,1.1,1.6,,
00953,2.8,3.2,2.2,2.1,1.5,,
00493,19.7,11.8,16.3,8.3,10.0,,
00619,7.4,6.7,7.0,8.1,6.0,,
00124,11.6,10.7,14.6,19.5,21.9,,
00782,16.8,16.1,11.1,15.4,19.8,,
00449,1.7,2.0,2.0,1.6,1.6,,
00937,9.1,10.1,8.8,4.9,5.9,,
00310,14.5,11.2,5.9,6.5,4.2,,
00851,7.8,10.8,13.8,14.9,7.6,,
00425,8.2,12.1,10.7,5.4,3.2,,
00399,9.8,6.0,5.6,5.0,5.6,,
00302,16.8,13.9,16.8,17.3,25.6,,
00924,9.5,14.0,10.1,9.6,10.9,,
00826,1.0,0.9,1.0,1.1,1.6,,
00255,18.4,19.3,24.4,34.8,38.3,,
00951,1.3,0.7,0.7,0.7,0.8,,
00443,6.2,8.5,11.7,8.9,10.1,,
00606,16.7,24.7,33.9,47.8,48.7,,
00087,10.2,11.2,8.5,5.4,3.0,,
00615,9.0,5.2,7.6,5.1,4.9,,
00807,2.6,3.0,3.2,2.8,2.0,,
00242,18.6,20.9,15.9,9.8,8.7,,
00165,3.1,1.6,2.0,1.0,1.0,,
00357,1.6,2.0,1.3,2.0,1.7,,
00852,6.3,4.1,2.6,3.9,3.9,,
00068,4.1,5.2,7.3,4.7,3.7,,
00795,6.1,4.3,5.2,5.7,8.5,,
00853,5.0,3.7,2.2,3.0,2.4,,
00958,10.2,12.8,13.9,8.4,9.9,,
00427,17.7,9.9,14.9,10.1,10.7,,
00174,12.7,13.7,18.6,9.5,7.9,,
00747,19.0,21.1,31.0,42.1,47.6,,
00852,14.4,17.1,9.6,14.2,21.1,,
00361,17.4,22.8,16.8,11.0,8.7,,
00454,5.8,5.2,7.0,10.1,6.4,,
00932,17.2,14.3,21.4,12.8,11.7,,
00651,5.3,4.8,6.7,4.1,4.3,,
00850,18.0,24.7,13.8,20.3,15.5,,
00417,15.0,19.5,24.1,19.5,10.9,,
00735,11.9,6.4,4.4,3.5,3.0,,
